PowerDemand,HeatDemand,PV,Wind
110.6976666,116.833606,0,257.3372864
106.9973372,135.1843756,0,256.3056459
102.4355249,137.8508401,0,248.7264584
98.31312665,140.825196,0,254.3712338
95.5378796,144.281195,0,257.4276665
94.9972846,147.7699089,0,253.9680662
97.48344341,151.6498844,0,228.7441001
100.2644722,155.6927743,0,230.6438586
101.6723319,159.3192291,0,257.3113719
103.6005504,161.3335806,21.61450517,258.8856556
109.7234392,162.2210316,21.61429517,256.0620636
112.5362678,161.8766629,21.61406517,251.0584753
113.5856581,159.1778474,67.24296164,245.2708559
112.2327251,153.6169503,45.62856647,241.2526594
112.4061781,146.6031002,0,233.2258579
115.5052039,139.1726723,0,227.9413395
128.3465033,131.108441,0,212.8398446
140.2222479,123.9679131,0,194.7390941
139.360765,117.3708046,0,184.0371402
131.7114903,112.2410417,0,172.6559735
124.446703,107.6363955,0,158.5242476
117.7861101,105.6220076,0,161.0999993
110.3652151,105.4953069,0,148.107188
102.8402484,106.0570027,0,145.4483478
96.28083636,109.5165637,0,141.5720291
91.56291638,114.2079419,0,139.0277258
89.48726286,120.2435866,0,143.1557137
88.7934511,125.5002812,0,136.2312398
90.01340345,129.8691989,0,128.7969595
92.1324202,134.4012522,0,123.7450428
97.370699,137.9551472,0,114.8999791
104.5516507,141.9980089,0,107.5923985
112.2587431,145.9504879,0,104.4627015
119.509076,150.2471782,21.60380514,90.01367978
123.414658,155.5906507,110.4158818,85.71122761
123.8714174,159.8109878,177.6196534,83.57602054
122.2496324,162.2202987,156.0119982,82.05312929
120.3474318,162.2022645,110.4045818,87.7777756
120.5006486,160.8399614,0,81.5152563
123.3192589,158.0829234,0,83.72479893
137.9095421,152.8444516,0,81.32573838
153.2774726,147.3341576,0,78.16111848
150.6467697,142.2585989,0,52.73100311
142.1591391,139.4111747,0,31.13253095
132.9748059,138.0670246,0,26.86079216
125.6059468,137.7915547,0,21.2463745
116.6384298,139.0777196,0,17.82320525
107.8038934,141.1609652,0,25.27708473
101.2068999,143.5336566,0,27.35591685
97.50367959,145.2905349,0,26.71335468
96.41381695,147.1961541,0,19.42979414
96.66532371,149.4096646,0,18.74164939
99.34228076,152.148292,0,16.58297607
107.763421,155.0500551,0,22.21525611
130.0145424,157.4083963,0,29.30810175
153.6157058,158.8428105,0,32.73788841
163.0746728,159.1000006,0,31.63512456
162.8029299,157.9624556,21.58149509,28.91922044
163.3348523,155.6980102,21.58031508,17.75200905
161.2678714,152.6364817,21.57911508,9.837051681
157.6051235,150.5897147,21.57789508,11.16161551
157.3333805,148.8327061,21.57666507,15.85897966
155.9746658,146.81827,0,21.0657012
153.3266176,145.6914659,0,27.4844035
163.1411631,145.5611205,0,32.64135793
